frame,time_s,detected,confidence,cx,cy,raw_cx,raw_cy,diameter,drift_px,status,candidates
0,0.000000,1,0.4903,2968.88,1575.74,2968.88,1575.74,53.10,0.00,ok,10
1,0.000000,1,0.6265,2968.85,1575.94,2968.17,1573.82,52.76,2.15,ok,10
2,0.008333,0,,,,,,,3.64,rejected-jump,9
3,0.016667,1,0.3412,2970.47,1576.27,2974.52,1572.13,54.99,6.27,ok,10
4,0.025000,1,0.3675,2972.02,1576.70,2980.52,1572.50,54.88,10.54,ok,10
5,0.033333,1,0.6395,2972.50,1576.78,2987.09,1573.97,54.93,16.36,ok,11
6,0.041667,1,0.6009,2973.93,1578.50,2995.48,1578.89,54.66,23.40,ok,11
7,0.050000,1,0.7221,2975.28,1577.53,3004.90,1582.60,55.89,31.86,ok,10
8,0.058333,0,,,,,,,40.72,rejected-jump,8
9,0.066667,1,0.3889,2976.88,1578.20,3022.39,1593.36,55.39,48.95,ok,11
10,0.075000,1,0.3170,2978.16,1578.80,3029.40,1597.98,55.49,55.88,ok,10
11,0.083333,1,0.4234,2977.39,1578.58,3033.39,1601.12,54.12,61.53,ok,10
12,0.091667,1,0.3470,2978.31,1578.59,3037.55,1604.23,55.20,65.63,ok,10
13,0.100000,1,0.3192,2976.91,1578.84,3038.01,1607.59,53.66,68.50,ok,11
14,0.108333,1,0.3777,2979.41,1579.73,3041.50,1611.21,55.15,70.34,ok,12
15,0.116667,1,0.5775,2976.47,1578.66,3038.68,1612.76,52.65,71.34,ok,11
16,0.125000,1,0.5564,2978.97,1578.56,3040.51,1615.04,56.13,71.63,ok,11
17,0.133333,0,,,,,,,70.96,rejected-jump,10
18,0.141667,1,0.3756,2979.03,1579.00,3037.00,1618.20,55.64,69.42,ok,11
19,0.150000,1,0.5017,2977.95,1578.88,3033.00,1618.43,54.68,66.99,ok,11
20,0.158333,1,0.2963,2978.33,1578.57,3029.90,1617.89,54.89,63.86,ok,10
21,0.166667,0,,,,,,,60.24,rejected-jump,10
22,0.175000,1,0.5395,2978.54,1577.54,3022.72,1614.87,56.61,56.48,ok,11
23,0.183333,1,0.6367,2976.81,1577.43,3017.67,1613.47,54.95,53.02,ok,10
24,0.191667,1,0.4933,2977.14,1578.21,3014.96,1613.22,54.75,49.95,ok,11
25,0.200000,1,0.6591,2976.28,1578.01,3011.27,1612.17,54.00,47.11,ok,9
26,0.208333,0,,,,,,,44.38,rejected-jump,10
27,0.216667,1,0.4080,2976.64,1577.28,3006.09,1609.66,56.28,41.62,ok,10
28,0.225000,1,0.4653,2976.42,1577.05,3003.19,1608.38,56.14,38.86,ok,11
29,0.233333,1,0.6832,2975.33,1577.40,2999.77,1607.78,55.20,36.45,ok,10
30,0.241667,1,0.4669,2975.74,1577.40,2998.29,1607.09,55.88,34.57,ok,10
31,0.250000,1,0.6124,2974.84,1577.85,2996.19,1607.31,54.98,33.50,ok,10
32,0.258333,1,0.6213,2975.15,1577.24,2995.71,1606.67,55.51,32.89,ok,10
33,0.266667,1,0.6660,2975.34,1576.82,2995.39,1606.46,55.99,32.68,ok,10
34,0.275000,1,0.7250,2975.78,1577.11,2995.54,1606.62,55.77,32.38,ok,10
35,0.283333,1,0.4588,2975.26,1576.90,2994.88,1605.86,55.43,31.90,ok,11
36,0.291667,1,0.6263,2975.45,1576.89,2994.93,1604.83,55.15,31.15,ok,11
37,0.300000,1,0.6644,2975.25,1576.91,2994.65,1603.69,54.88,30.36,ok,10
38,0.308333,1,0.5276,2975.01,1577.40,2994.33,1603.13,54.29,29.69,ok,10
39,0.316667,1,0.2857,2974.75,1576.67,2993.85,1601.46,54.69,29.03,ok,11
40,0.325000,1,0.5438,2974.29,1575.99,2993.02,1599.49,54.20,28.02,ok,11
41,0.333333,1,0.6795,2974.96,1576.46,2993.34,1598.49,54.61,26.95,ok,11
42,0.341667,1,0.7111,2970.14,1576.60,2988.23,1597.36,49.78,26.11,ok,11
43,0.350000,1,0.5548,2972.06,1577.23,2989.99,1596.83,51.82,25.48,ok,12
44,0.358333,1,0.4505,2975.11,1577.24,2993.01,1595.85,54.82,24.99,ok,11
45,0.366667,1,0.5635,2975.17,1577.69,2993.30,1595.59,54.45,24.93,ok,11
46,0.375000,1,0.3163,2975.65,1578.18,2994.27,1595.61,54.52,25.16,ok,10
47,0.383333,1,0.3487,2976.46,1578.36,2995.64,1595.83,54.82,25.71,ok,10
48,0.391667,1,0.6789,2976.32,1578.09,2996.33,1596.19,55.35,26.69,ok,11
49,0.400000,1,0.7561,2975.53,1577.75,2996.78,1597.03,54.90,28.35,ok,12
50,0.408333,1,0.4573,2975.13,1577.92,2998.01,1598.75,53.51,30.49,ok,12
51,0.416667,1,0.6538,2974.31,1577.38,2998.76,1599.68,53.33,32.55,ok,11
52,0.425000,1,0.4715,2973.39,1576.99,2999.41,1600.71,52.26,34.57,ok,11
53,0.433333,1,0.5172,2976.14,1577.56,3003.72,1602.59,55.06,36.62,ok,11
54,0.441667,1,0.6185,2976.58,1577.77,3005.68,1604.02,55.75,38.56,ok,10
