frame,time_s,detected,confidence,cx,cy,raw_cx,raw_cy,diameter,drift_px,status,candidates
0,0.000000,0,,,,,,,0.00,rejected-distance,4
1,0.000000,0,,,,,,,1.77,rejected-distance,4
2,0.004167,0,,,,,,,3.33,rejected-distance,4
3,0.008333,0,,,,,,,4.73,rejected-distance,5
4,0.012500,0,,,,,,,5.85,rejected-distance,4
5,0.016667,0,,,,,,,6.72,rejected-distance,4
6,0.020833,0,,,,,,,7.38,rejected-distance,3
7,0.025000,0,,,,,,,7.92,rejected-distance,4
8,0.029167,0,,,,,,,8.26,rejected-distance,5
9,0.033333,0,,,,,,,8.31,rejected-distance,5
10,0.037500,0,,,,,,,8.09,rejected-distance,5
11,0.041667,0,,,,,,,7.56,rejected-distance,3
12,0.045833,0,,,,,,,6.85,rejected-distance,3
13,0.050000,0,,,,,,,6.03,rejected-distance,3
14,0.054167,0,,,,,,,5.37,rejected-distance,4
15,0.058333,0,,,,,,,4.82,rejected-distance,5
16,0.062500,0,,,,,,,4.67,rejected-distance,3
17,0.066667,0,,,,,,,5.14,rejected-distance,4
18,0.070833,0,,,,,,,6.10,rejected-distance,5
19,0.075000,0,,,,,,,7.38,rejected-distance,3
20,0.079167,0,,,,,,,8.86,rejected-distance,4
21,0.083333,0,,,,,,,10.41,rejected-distance,4
22,0.087500,0,,,,,,,11.99,rejected-distance,4
23,0.091667,0,,,,,,,13.46,rejected-distance,4
24,0.095833,0,,,,,,,14.90,rejected-distance,3
25,0.100000,1,0.2725,1649.04,756.22,1665.43,758.74,28.89,16.26,ok,7
26,0.104167,0,,,,,,,17.47,rejected-size,5
27,0.108333,0,,,,,,,18.65,rejected-size,4
28,0.112500,0,,,,,,,19.72,rejected-size,4
29,0.116667,0,,,,,,,20.71,rejected-size,4
30,0.120833,0,,,,,,,21.58,rejected-size,4
31,0.125000,0,,,,,,,22.40,rejected-size,4
32,0.129167,0,,,,,,,23.16,rejected-size,4
33,0.133333,0,,,,,,,23.82,rejected-size,4
34,0.137500,0,,,,,,,24.40,rejected-size,4
35,0.141667,0,,,,,,,24.85,rejected-size,4
36,0.145833,0,,,,,,,25.10,rejected-size,4
37,0.150000,0,,,,,,,25.19,rejected-size,4
38,0.154167,0,,,,,,,25.27,rejected-size,4
39,0.158333,0,,,,,,,25.17,rejected-size,3
40,0.162500,0,,,,,,,25.03,rejected-size,4
41,0.166667,0,,,,,,,24.78,rejected-size,3
42,0.170833,0,,,,,,,24.49,rejected-size,5
43,0.175000,0,,,,,,,24.11,rejected-size,5
44,0.179167,0,,,,,,,23.70,rejected-size,4
45,0.183333,0,,,,,,,23.27,rejected-size,4
46,0.187500,0,,,,,,,22.87,rejected-size,3
47,0.191667,0,,,,,,,22.57,rejected-size,4
48,0.195833,0,,,,,,,22.30,rejected-size,4
49,0.200000,0,,,,,,,22.07,rejected-size,4
50,0.204167,0,,,,,,,21.83,rejected-size,5
51,0.208333,0,,,,,,,21.67,rejected-size,4
52,0.212500,0,,,,,,,21.53,rejected-size,4
53,0.216667,0,,,,,,,21.53,rejected-size,5
54,0.220833,0,,,,,,,21.58,rejected-size,5
55,0.225000,0,,,,,,,21.75,rejected-size,5
