frame,time_s,detected,confidence,cx,cy,raw_cx,raw_cy,diameter,drift_px,status,candidates
500,2.080000,1,0.8727,1007.43,766.79,1007.43,766.79,60.09,0.00,ok,3
501,2.084167,1,0.8727,1007.52,767.95,1006.91,767.71,61.23,0.63,ok,3
502,2.088333,1,0.8695,1007.75,766.99,1006.56,766.50,60.26,1.24,ok,4
503,2.092500,1,0.8689,1007.91,766.82,1006.20,766.11,60.19,1.78,ok,4
504,2.096667,1,0.8709,1007.81,766.42,1005.56,765.57,59.69,2.30,ok,4
505,2.100833,1,0.8742,1007.57,766.29,1004.86,765.37,59.33,2.75,ok,4
506,2.105000,1,0.8744,1007.74,766.40,1004.63,765.42,59.58,3.13,ok,4
507,2.109167,1,0.8700,1007.86,766.99,1004.46,765.96,60.11,3.41,ok,4
508,2.113333,1,0.8718,1007.93,767.15,1004.28,766.07,60.02,3.65,ok,4
509,2.117500,1,0.8794,1007.81,766.72,1004.07,765.65,59.52,3.74,ok,3
510,2.121667,1,0.8587,1007.67,766.52,1003.84,765.44,59.22,3.82,ok,3
511,2.125833,1,0.8595,1007.58,766.50,1003.79,765.50,59.43,3.75,ok,3
512,2.130000,1,0.8555,1007.62,766.00,1003.87,765.09,58.02,3.68,ok,3
513,2.134167,1,0.8457,1007.55,765.93,1003.89,765.10,58.22,3.57,ok,3
514,2.138333,1,0.8434,1007.46,766.42,1003.88,765.70,59.24,3.46,ok,3
515,2.142500,1,0.8580,1007.14,765.96,1003.52,765.30,58.89,3.47,ok,3
516,2.146667,1,0.8648,1006.91,766.01,1003.24,765.41,59.02,3.49,ok,3
517,2.150833,1,0.8582,1006.72,767.29,1002.89,766.68,61.25,3.62,ok,3
518,2.155000,1,0.8544,1006.95,765.85,1002.94,765.23,59.17,3.79,ok,2
519,2.159167,1,0.7876,1006.15,765.55,1001.91,764.87,60.38,4.01,ok,3
520,2.163333,1,0.8219,1006.25,765.70,1001.79,764.99,59.71,4.22,ok,4
521,2.167500,1,0.8432,1006.88,765.81,1002.24,765.14,58.92,4.39,ok,3
522,2.171667,1,0.8476,1006.96,765.92,1002.13,765.27,58.73,4.56,ok,3
523,2.175833,1,0.8343,1007.85,767.21,1002.82,766.61,59.55,4.73,ok,2
524,2.180000,1,0.8570,1008.00,767.39,1002.79,766.85,59.67,4.89,ok,2
525,2.184167,1,0.8552,1008.22,768.15,1002.85,767.66,60.41,5.05,ok,2
526,2.188333,1,0.8708,1008.16,768.40,1002.64,767.95,60.92,5.20,ok,2
527,2.192500,1,0.8812,1008.08,768.67,1002.42,768.25,61.40,5.33,ok,2
528,2.196667,1,0.8760,1008.25,768.65,1002.45,768.25,61.23,5.47,ok,2
529,2.200833,1,0.8788,1008.25,768.34,1002.37,767.88,61.08,5.57,ok,2
530,2.205000,1,0.8778,1008.26,768.08,1002.30,767.56,60.92,5.66,ok,2
531,2.209167,1,0.8785,1008.31,768.29,1002.31,767.69,61.15,5.71,ok,2
532,2.213333,1,0.8817,1008.27,768.41,1002.24,767.73,61.32,5.76,ok,2
533,2.217500,1,0.8714,1008.33,767.92,1002.27,767.18,60.82,5.80,ok,2
534,2.221667,1,0.8640,1008.35,768.10,1002.29,767.29,60.93,5.83,ok,2
535,2.225833,1,0.8648,1008.38,768.07,1002.17,767.26,60.81,5.97,ok,2
536,2.230000,1,0.8613,1008.44,767.69,1002.09,766.89,60.54,6.12,ok,2
537,2.234167,1,0.8479,1008.47,768.03,1001.86,767.29,61.09,6.37,ok,2
538,2.238333,1,0.8525,1008.23,769.15,1001.37,768.48,62.22,6.62,ok,2
539,2.242500,1,0.8539,1008.17,769.28,1000.95,768.70,61.80,6.97,ok,2
540,2.246667,1,0.8469,1008.11,769.53,1000.53,769.04,62.03,7.32,ok,2
541,2.250833,1,0.8484,1007.94,769.04,999.93,768.64,61.34,7.75,ok,3
542,2.255000,1,0.8545,1008.07,769.29,999.51,768.97,61.97,8.28,ok,3
543,2.259167,1,0.8274,1008.55,766.27,999.36,766.02,58.36,8.89,ok,2
544,2.263333,1,0.8135,1009.51,766.03,999.64,765.88,58.09,9.56,ok,3
545,2.267500,1,0.7539,1016.69,764.42,1006.08,764.33,56.99,10.26,ok,4
546,2.271667,1,0.8537,1029.24,762.98,1017.88,762.93,61.43,10.98,ok,4
547,2.275833,1,0.7512,1044.96,760.23,1032.83,760.26,61.12,11.71,ok,4
548,2.280000,1,0.8142,1059.81,754.50,1046.92,754.63,63.23,12.42,ok,4
549,2.284167,1,0.7979,1074.25,749.01,1060.72,749.25,59.50,13.04,ok,5
550,2.288333,1,0.5941,1087.49,745.95,1073.37,746.31,65.20,13.61,ok,4
551,2.292500,1,0.7664,1102.83,741.57,1088.15,742.03,63.13,14.12,ok,4
552,2.296667,1,0.7518,1117.95,735.89,1102.73,736.49,61.56,14.64,ok,4
553,2.300833,1,0.7012,1134.86,729.99,1119.14,730.74,63.69,15.11,ok,3
554,2.305000,1,0.2646,1151.07,720.86,1134.86,721.76,60.44,15.57,ok,3
