# Ground truth for the 2026-08-22 session. The most valuable data this
# project has, and the only thing that lets a computed carry be checked
# against reality.
#
# THE CLIPS ARE NOT IN THIS REPOSITORY. They live at ~/Desktop/clips/ and
# total about 1.3 GB. Nothing in tools/ can be reproduced without them.
#
# kick          capture-timestamp order, which is the order they were struck
# file          basename under the clips directory
# paced_yards   where the ball FIRST LANDED, paced out on the pitch
# camera_m      distance from camera to ball, paced; 10 yards for all eleven
# landing       whether the track reaches the ground. Only these clips can
#               have their carry checked -- on the rest the ball leaves the
#               frame while still airborne and the footage does not contain
#               the answer
# note          anything that makes the clip atypical
kick,file,paced_yards,camera_m,landing,note
1,GoalKick-2026-08-22-090237-1080p240-sz4.mov,15.0,9.14,no,
2,GoalKick-2026-08-22-090349-4K120-sz4.mov,16.5,9.14,yes,
3,GoalKick-2026-08-22-090444-4K120-sz4.mov,25.0,9.14,no,longest kick of the set
4,GoalKick-2026-08-22-090542-4K120-sz4.mov,16.0,9.14,yes,
5,GoalKick-2026-08-22-090710-4K120-sz4.mov,19.0,9.14,no,
6,GoalKick-2026-08-22-090855-1080p240-sz4.mov,9.0,9.14,yes,shortest kick of the set
7,GoalKick-2026-08-22-090932-1080p240-sz4.mov,17.5,9.14,no,tracking fails; acquires one frame then collapses
8,GoalKick-2026-08-22-091034-4K120-sz4.mov,15.0,9.14,no,
9,GoalKick-2026-08-22-091136-4K120-sz4.mov,15.5,9.14,yes,
10,GoalKick-2026-08-22-091243-4K120-sz4.mov,17.5,9.14,no,track starts near the end of the clip; metrics fail
11,GoalKick-2026-08-22-091336-4K120-sz4.mov,12.0,9.14,no,deliberate off-square control; measures 56.5 degrees
